mktID,weekdayThisAreaIsActive,date,mktDay,year,month,weekday,mkt_lat,mkt_lon,sumsum_maxpMax_27_100,sumsum_maxpMax_27_24,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,heavy_haze_percent,instrument,light_haze_percent,satellite_azimuth,satellite_id,shadow_percent,sun_azimuth,sun_elevation,view_angle,visible_confidence_percent,visible_percent,time_decimal,diff_to_median_time,exclDates,maxVar_s_6_maxpMax_1
lon9_9576lat36_8643,5,2018-01-03,0,2018,1,3,9.9576,36.8643,0.3025489888626424,,2018-01-03T07:21:55.311047Z,0.0,66.0,100.0,0.0,0.0,0.0,PS2,0.0,100.3,1033,0.0,135.2,43.5,1.3,67.0,100.0,7.365277777777777,0.1611111111111114,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-04,0,2018,1,4,9.9576,36.8643,0.3038246107493746,,2018-01-04T07:22:01.508173Z,0.0,82.0,100.0,0.0,0.0,0.0,PS2,0.0,257.4,100c,0.0,135.0,43.5,1.0,83.0,100.0,7.366944444444444,0.1594444444444445,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-07,0,2018,1,0,9.9576,36.8643,0.0997980772947337,,2018-01-07T07:22:55.267239Z,0.0,75.0,100.0,0.0,0.0,0.0,PS2,0.0,113.2,103d,0.0,134.5,43.6,0.9,75.0,100.0,7.381944444444444,0.1444444444444448,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-08,0,2018,1,1,9.9576,36.8643,0.8553667993710284,,,,,,,,,PS2,,,,,,,,,,7.383611111111112,0.142777777777777,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-10,0,2018,1,3,9.9576,36.8643,0.2102705049427693,,2018-01-10T07:22:53.24309Z,0.0,82.0,100.0,0.0,0.0,0.0,PS2,0.0,207.4,1011,0.0,133.8,43.6,0.9,82.0,100.0,7.381388888888888,0.1450000000000004,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-14,0,2018,1,0,9.9576,36.8643,0.0992154367222762,,2018-01-14T07:22:45.002602Z,0.0,79.0,100.0,0.0,0.0,0.0,PS2,0.0,99.1,1015,0.0,132.8,43.8,1.9,79.0,100.0,7.379166666666666,0.1472222222222221,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-15,0,2018,1,1,9.9576,36.8643,0.1724172618779645,,2018-01-15T07:24:59.082717Z,0.0,73.0,100.0,0.0,0.0,0.0,PS2,0.0,98.9,0e3a,0.0,133.0,44.3,2.0,74.0,100.0,7.416388888888889,0.1099999999999994,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-16,0,2018,1,2,9.9576,36.8643,0.2060693222300398,,2018-01-16T07:22:53.600159Z,0.0,72.0,100.0,0.0,0.0,0.0,PS2,0.0,167.5,0f31,0.0,132.3,44.0,0.9,72.0,100.0,7.381388888888888,0.1450000000000004,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-17,0,2018,1,3,9.9576,36.8643,0.0985949466244086,,,,,,,,,PS2,,,,,,,,,,7.386111111111112,0.1402777777777766,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-21,0,2018,1,0,9.9576,36.8643,0.2576149711538341,,2018-01-21T07:23:42.552133Z,0.0,87.0,100.0,0.0,0.0,0.0,PS2,0.0,105.0,1008,0.0,130.9,44.4,0.6,87.0,100.0,7.395,0.1313888888888881,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-23,0,2018,1,2,9.9576,36.8643,0.3612233300725851,,,,,,,,,PS2,,,,,,,,,,7.390000000000001,0.136388888888888,0,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2018-01-24,0,2018,1,3,9.9576,36.8643,0.2115601292675607,,2018-01-24T07:24:47.639494Z,0.01,81.0,100.0,0.0,0.0,0.0,PS2,0.0,277.1,103a,0.0,130.0,44.6,4.3,81.0,100.0,7.413055555555556,0.1133333333333324,0,sumsum_maxpMax_27_24
